"No","Judul Artikel","Kutipan Bermasalah","Jenis Pelanggaran AdSense","Saran Kalimat Pengganti"
"1","Oknum Berilmu & Kitab Tebal • Pengkhianatan Ulama di Negeri Muslim - Layar Kosong","Islam justru dikhianati dari dalam.","Unreliable Claims & Misinformation (Tuduhan pengkhianatan sistemik)","Terdapat dinamika internal yang perlu dievaluasi dalam pemeliharaan nilai Islam."
"2","Oknum Berilmu & Kitab Tebal • Pengkhianatan Ulama di Negeri Muslim - Layar Kosong","Akan datang kepada manusia para pemimpin yang menyesatkan.","Derogatory / Harassment (Merendahkan martabat otoritas/Pemimpin)","Akan datang fase di mana masyarakat menghadapi figur otoritas yang kebijakannya memerlukan evaluasi mendalam."
"3","Board of Peace vs Perjanjian Hudaibiyyah: Analisis Perbandingan Mendalam - Layar Kosong","Palestina sebagai wilayah yang akan direkonstruksi pasca perang tidak diajak dalam perundingan.","Sensitive Events / Unreliable Claims (Konflik geopolitik/Perang)","Kawasan yang terdampak dinamika regional tersebut belum dilibatkan sepenuhnya dalam proses rekonsiliasi."
"4","Board of Peace vs Perjanjian Hudaibiyyah: Analisis Perbandingan Mendalam - Layar Kosong","Dukungan ulama atas kemaksiatan dan kedzaliman adalah kerusakan bagi umat ini.","Derogatory / Harassment (Tuduhan moralitas kelompok ulama)","Keberpihakan pada pendekatan yang kurang proporsional berpotensi memengaruhi stabilitas pandangan masyarakat."
"5","Kisah Epik Abdurrahman ad-Dākhil: Si Elang Quraisy di Andalusia - Layar Kosong","Abbasiyah mencari darahmu. Jika engkau tinggal, engkau akan dieksekusi secara tragis","Dangerous & Self-Harm (Kekerasan ekstrem/Darah/Eksekusi)","Pihak otoritas baru melakukan pencarian intensif. Jika menetap, Anda berisiko menghadapi penindakan fisik yang fatal"
"6","Nabi Zakaria & Yahya ‘Alaihissalam - Kisah Penuh Hikmah - Layar Kosong","wafat dalam insiden tragis saat beribadah.","Dangerous & Self-Harm (Kematian tragis/Kekerasan fisik)","berpulangnya beliau terjadi di tengah situasi kritis saat menjalankan aktivitas ibadah."
"7","Nabi Hud ‘Alaihissalam - Layar Kosong","Mereka lemparkan pelbagai tuduhan kepada nabi Hud. Mereka mengatakan baginda tidak rasional, dirasuk hantu, penipu","Unreliable Claims / Profanity (Tuduhan penipuan/Hantu)","Mereka menyampaikan pandangan kritis yang ekstrem terhadap Nabi Hud, menganggap argumen beliau kurang objektif serta tidak berdasar."
"8","Oknum Berilmu & Kitab Tebal • Pengkhianatan Ulama di Negeri Muslim - Layar Kosong","Jihad yang paling utama adalah menyampaikan kebenaran di hadapan penguasa zalim.","Derogatory / Harassment (Zalim/Menyerang institusi penguasa)","Langkah aspirasi yang utama adalah menyampaikan pandangan objektif di hadapan otoritas yang kebijakannya dinilai kurang proporsional."
"9","Lika-liku Perjalanan Ojol: Dari Perang Wilayah 2016 hingga Konflik Horizontal 2025... - Layar Kosong","sweeping ojol oleh opang, direspons dengan aksi solidaritas besar-besaran.","Dangerous & Self-Harm (Sweeping/Tindakan intimidasi fisik kelompok)","pembatasan sepihak terhadap pengemudi online oleh pelaku konvensional, direspons dengan langkah penyampaian aspirasi komunal skala besar."
"10","Lika-liku Perjalanan Ojol: Dari Perang Wilayah 2016 hingga Konflik Horizontal 2025... - Layar Kosong","Bukannya membangun sistem jaring pengaman sosial yang layak bagi pekerja gig, energi pemerintah justru tersedot untuk urusan yang jauh dari kebutuhan dasar","Unreliable Claims & Misinformation (Kritik tidak transparan terhadap kinerja instansi)","Selain penguatan sistem jaring perlindungan sosial bagi pekerja gig, alokasi prioritas kebijakan pemerintah diharapkan dapat lebih selaras dengan kebutuhan dasar"
"11","Sabar Menghadapi Ghibah: Pelajaran Penting dalam Islam - Layar Kosong","Memicu Fitnah dan Permusuhan: Ghibah sering kali menjadi awal dari fitnah dan konflik.","Dangerous / Harassment (Permusuhan/Konflik)","Berpotensi Menimbulkan Disinformasi dan Ketidakselarasan: Perbincangan negatif sering kali menjadi awal dari kesalahpahaman dan disintegrasi sosial."
"12","Qordoba: Kilau Peradaban Andalusia - Layar Kosong","masyarakat di sana hanya mandi sekali setahun. Pakaian mereka pun jarang dicuci hingga compang-camping.","Derogatory (Merendahkan martabat kelompok/Masyarakat masa lalu)","penduduk setempat memiliki frekuensi pembersihan fisik yang sangat terbatas serta standar kelayakan pakaian yang memerlukan perhatian higienitas lebih lanjut."
"13","Nabi Ayub ‘Alaihissalam - Kisah Kesabaran dan Ganjaran - Layar Kosong","Beliau pun bernazar, jika sembuh, akan merotan istrinya 100 kali","Dangerous & Self-Harm (Merotan/Tindakan kekerasan fisik)","Beliau berkomitmen secara spiritual, jika pulih, akan memberikan tindakan penegasan fisik sebanyak 100 kali"
"14","Santri Nilai Wacana Dialog dengan Israel Sangat Keliru - Layar Kosong","Bani Israil yang dalam Al-Qur’an dan sirah yang dianggap selalu mengkhianati perjanjian.","Derogatory / Harassment (Merendahkan etnis/Asal-usul kebangsaan)","Catatan sejarah dan literatur klasik yang menunjukkan adanya dinamika ketidakselarasan terhadap komitmen kesepakatan terdahulu."
"15","Langit Terkunci: Saat Jin Menjerit dan Setan Kehilangan Informasi Takdir - Layar Kosong","lemparannya syihab (meteor atau bintang bercahaya) yang membakar jin yang mencoba mendekati langit. Mereka lari terbirit-birit sambil menjerit.","Dangerous & Self-Harm (Membakar/Menjerit/Kekerasan visual)","adanya proyektil alami bercahaya yang memberikan konsekuensi fisik tegas bagi entitas luar yang berupaya melewati pembatasan akses tersebut."
